atom_id,atom_name,domain_family,parity_coverage_level,parity_fixture_count,parity_case_count,runtime_probe_status,risk_tier,review_priority,parity_coverage_reasons
ageoa.alphafold.invariant_point_attention@ageoa/alphafold/atoms.py:22,ageoa.alphafold.invariant_point_attention,alphafold,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.astroflow.dedispersionkernel@ageoa/astroflow/atoms.py:23,ageoa.astroflow.dedispersionkernel,astroflow,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.belief_propagation.loopy_bp.initialize_message_passing_state@ageoa/belief_propagation/loopy_bp/atoms.py:23,ageoa.belief_propagation.loopy_bp.initialize_message_passing_state,belief_propagation,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.belief_propagation.loopy_bp.run_loopy_message_passing_and_belief_query@ageoa/belief_propagation/loopy_bp/atoms.py:53,ageoa.belief_propagation.loopy_bp.run_loopy_message_passing_and_belief_query,belief_propagation,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.abp_zong.audio_onset_detection@ageoa/biosppy/abp_zong/atoms.py:23,ageoa.biosppy.abp_zong.audio_onset_detection,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.ecg_hamilton.hamilton_segmentation@ageoa/biosppy/ecg_hamilton/atoms.py:17,ageoa.biosppy.ecg_hamilton.hamilton_segmentation,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.ecg_hamilton_d12.hamilton_segmenter@ageoa/biosppy/ecg_hamilton_d12/atoms.py:18,ageoa.biosppy.ecg_hamilton_d12.hamilton_segmenter,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.ecg_zz2018.calculatebeatagreementsqi@ageoa/biosppy/ecg_zz2018/atoms.py:40,ageoa.biosppy.ecg_zz2018.calculatebeatagreementsqi,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.ecg_zz2018.calculatecompositesqi_zz2018@ageoa/biosppy/ecg_zz2018/atoms.py:20,ageoa.biosppy.ecg_zz2018.calculatecompositesqi_zz2018,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.ecg_zz2018.calculatefrequencypowersqi@ageoa/biosppy/ecg_zz2018/atoms.py:57,ageoa.biosppy.ecg_zz2018.calculatefrequencypowersqi,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.ecg_zz2018_d12.assemblezz2018sqi@ageoa/biosppy/ecg_zz2018_d12/atoms.py:77,ageoa.biosppy.ecg_zz2018_d12.assemblezz2018sqi,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.ecg_zz2018_d12.computebeatagreementsqi@ageoa/biosppy/ecg_zz2018_d12/atoms.py:20,ageoa.biosppy.ecg_zz2018_d12.computebeatagreementsqi,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.ecg_zz2018_d12.computefrequencysqi@ageoa/biosppy/ecg_zz2018_d12/atoms.py:38,ageoa.biosppy.ecg_zz2018_d12.computefrequencysqi,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.eda.eda_feature_extraction@ageoa/biosppy/eda.py:88,ageoa.biosppy.eda.eda_feature_extraction,biosppy,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.eda.gamboa_segmenter@ageoa/biosppy/eda.py:35,ageoa.biosppy.eda.gamboa_segmenter,biosppy,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.emg_abbink.detect_onsets_with_rest_aware_thresholds@ageoa/biosppy/emg_abbink/atoms.py:21,ageoa.biosppy.emg_abbink.detect_onsets_with_rest_aware_thresholds,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.emg_bonato.bonato_onset_detection@ageoa/biosppy/emg_bonato/atoms.py:22,ageoa.biosppy.emg_bonato.bonato_onset_detection,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.emg_solnik.threshold_based_onset_detection@ageoa/biosppy/emg_solnik/atoms.py:18,ageoa.biosppy.emg_solnik.threshold_based_onset_detection,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.emg_solnik_d12.solnik_onset_detect@ageoa/biosppy/emg_solnik_d12/atoms.py:19,ageoa.biosppy.emg_solnik_d12.solnik_onset_detect,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.online_filter.filterstateinit@ageoa/biosppy/online_filter/atoms.py:24,ageoa.biosppy.online_filter.filterstateinit,biosppy,none,0,0,not_applicable,high,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.online_filter.filterstep@ageoa/biosppy/online_filter/atoms.py:54,ageoa.biosppy.online_filter.filterstep,biosppy,none,0,0,not_applicable,high,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.online_filter_codex.filterstateinit@ageoa/biosppy/online_filter_codex/atoms.py:24,ageoa.biosppy.online_filter_codex.filterstateinit,biosppy,none,0,0,not_applicable,high,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.online_filter_codex.filterstep@ageoa/biosppy/online_filter_codex/atoms.py:54,ageoa.biosppy.online_filter_codex.filterstep,biosppy,none,0,0,not_applicable,high,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.online_filter_v2.filterstateinit@ageoa/biosppy/online_filter_v2/atoms.py:24,ageoa.biosppy.online_filter_v2.filterstateinit,biosppy,none,0,0,not_applicable,high,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.online_filter_v2.filterstep@ageoa/biosppy/online_filter_v2/atoms.py:54,ageoa.biosppy.online_filter_v2.filterstep,biosppy,none,0,0,not_applicable,high,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.pcg.pcg_segmentation@ageoa/biosppy/pcg.py:60,ageoa.biosppy.pcg.pcg_segmentation,biosppy,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.pcg.shannon_energy@ageoa/biosppy/pcg.py:32,ageoa.biosppy.pcg.shannon_energy,biosppy,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.ppg_elgendi.detect_signal_onsets_elgendi2013@ageoa/biosppy/ppg_elgendi/atoms.py:22,ageoa.biosppy.ppg_elgendi.detect_signal_onsets_elgendi2013,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.svm_proc.assess_classification@ageoa/biosppy/svm_proc/atoms.py:118,ageoa.biosppy.svm_proc.assess_classification,biosppy,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.svm_proc.assess_runs@ageoa/biosppy/svm_proc/atoms.py:147,ageoa.biosppy.svm_proc.assess_runs,biosppy,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.svm_proc.combination@ageoa/biosppy/svm_proc/atoms.py:176,ageoa.biosppy.svm_proc.combination,biosppy,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.svm_proc.cross_validation@ageoa/biosppy/svm_proc/atoms.py:262,ageoa.biosppy.svm_proc.cross_validation,biosppy,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.svm_proc.get_auth_rates@ageoa/biosppy/svm_proc/atoms.py:21,ageoa.biosppy.svm_proc.get_auth_rates,biosppy,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.svm_proc.get_id_rates@ageoa/biosppy/svm_proc/atoms.py:47,ageoa.biosppy.svm_proc.get_id_rates,biosppy,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.svm_proc.get_subject_results@ageoa/biosppy/svm_proc/atoms.py:74,ageoa.biosppy.svm_proc.get_subject_results,biosppy,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.biosppy.svm_proc.majority_rule@ageoa/biosppy/svm_proc/atoms.py:221,ageoa.biosppy.svm_proc.majority_rule,biosppy,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.conjugate_priors.beta_binom.posterior_randmodel@ageoa/conjugate_priors/beta_binom/atoms.py:21,ageoa.conjugate_priors.beta_binom.posterior_randmodel,conjugate_priors,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.conjugate_priors.beta_binom.posterior_randmodel_weighted@ageoa/conjugate_priors/beta_binom/atoms.py:43,ageoa.conjugate_priors.beta_binom.posterior_randmodel_weighted,conjugate_priors,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.conjugate_priors.normal.normal_gamma_posterior_update@ageoa/conjugate_priors/normal/atoms.py:20,ageoa.conjugate_priors.normal.normal_gamma_posterior_update,conjugate_priors,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.datadriven.discover_equations@ageoa/datadriven/atoms.py:80,ageoa.datadriven.discover_equations,datadriven,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.e2e_ppg.gan_rec.generatereconstructedppg@ageoa/e2e_ppg/gan_rec/atoms.py:20,ageoa.e2e_ppg.gan_rec.generatereconstructedppg,e2e_ppg,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.e2e_ppg.gan_rec_d12.gan_reconstruction@ageoa/e2e_ppg/gan_rec_d12/atoms.py:16,ageoa.e2e_ppg.gan_rec_d12.gan_reconstruction,e2e_ppg,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.e2e_ppg.heart_cycle.detect_heart_cycles@ageoa/e2e_ppg/heart_cycle/atoms.py:18,ageoa.e2e_ppg.heart_cycle.detect_heart_cycles,e2e_ppg,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.e2e_ppg.heart_cycle_d12.heart_cycle_detection@ageoa/e2e_ppg/heart_cycle_d12/atoms.py:16,ageoa.e2e_ppg.heart_cycle_d12.heart_cycle_detection,e2e_ppg,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.e2e_ppg.kazemi_peak_detection@ageoa/e2e_ppg/atoms.py:20,ageoa.e2e_ppg.kazemi_peak_detection,e2e_ppg,none,0,0,not_applicable,medium,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.e2e_ppg.kazemi_wrapper.wrapperpredictionsignalcomputation@ageoa/e2e_ppg/kazemi_wrapper/atoms.py:17,ageoa.e2e_ppg.kazemi_wrapper.wrapperpredictionsignalcomputation,e2e_ppg,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.e2e_ppg.kazemi_wrapper_d12.wrapperevaluate@ageoa/e2e_ppg/kazemi_wrapper_d12/atoms.py:33,ageoa.e2e_ppg.kazemi_wrapper_d12.wrapperevaluate,e2e_ppg,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.e2e_ppg.ppg_reconstruction@ageoa/e2e_ppg/atoms.py:41,ageoa.e2e_ppg.ppg_reconstruction,e2e_ppg,none,0,0,not_applicable,medium,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.e2e_ppg.ppg_sqa@ageoa/e2e_ppg/atoms.py:69,ageoa.e2e_ppg.ppg_sqa,e2e_ppg,none,0,0,not_applicable,medium,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.e2e_ppg.reconstruction.gan_patch_reconstruction@ageoa/e2e_ppg/reconstruction/atoms.py:19,ageoa.e2e_ppg.reconstruction.gan_patch_reconstruction,e2e_ppg,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.e2e_ppg.reconstruction.windowed_signal_reconstruction@ageoa/e2e_ppg/reconstruction/atoms.py:40,ageoa.e2e_ppg.reconstruction.windowed_signal_reconstruction,e2e_ppg,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.e2e_ppg.template_matching.templatefeaturecomputation@ageoa/e2e_ppg/template_matching/atoms.py:17,ageoa.e2e_ppg.template_matching.templatefeaturecomputation,e2e_ppg,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.hPDB.iterate_pdb_atoms@ageoa/hPDB/atoms.py:24,ageoa.hPDB.iterate_pdb_atoms,hPDB,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.hPDB.iterate_pdb_residues@ageoa/hPDB/atoms.py:39,ageoa.hPDB.iterate_pdb_residues,hPDB,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.hftbacktest.evaluate_spread_conditions@ageoa/hftbacktest/atoms.py:67,ageoa.hftbacktest.evaluate_spread_conditions,hftbacktest,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.hftbacktest.initialize_glft_state@ageoa/hftbacktest/atoms.py:19,ageoa.hftbacktest.initialize_glft_state,hftbacktest,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.hftbacktest.update_glft_coefficients@ageoa/hftbacktest/atoms.py:37,ageoa.hftbacktest.update_glft_coefficients,hftbacktest,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.almgren_chriss.computeoptimaltrajectory@ageoa/institutional_quant_engine/almgren_chriss/atoms.py:18,ageoa.institutional_quant_engine.almgren_chriss.computeoptimaltrajectory,institutional_quant_engine,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.almgren_chriss_execution@ageoa/institutional_quant_engine/atoms.py:53,ageoa.institutional_quant_engine.almgren_chriss_execution,institutional_quant_engine,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.almgren_chriss_v2.optimalexecutiontrajectory@ageoa/institutional_quant_engine/almgren_chriss_v2/atoms.py:31,ageoa.institutional_quant_engine.almgren_chriss_v2.optimalexecutiontrajectory,institutional_quant_engine,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.almgren_chriss_v2.riskaversioninit@ageoa/institutional_quant_engine/almgren_chriss_v2/atoms.py:16,ageoa.institutional_quant_engine.almgren_chriss_v2.riskaversioninit,institutional_quant_engine,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.avellaneda_stoikov.computeinventoryadjustedquotes@ageoa/institutional_quant_engine/avellaneda_stoikov/atoms.py:32,ageoa.institutional_quant_engine.avellaneda_stoikov.computeinventoryadjustedquotes,institutional_quant_engine,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.avellaneda_stoikov.initializemarketmakerstate@ageoa/institutional_quant_engine/avellaneda_stoikov/atoms.py:17,ageoa.institutional_quant_engine.avellaneda_stoikov.initializemarketmakerstate,institutional_quant_engine,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.avellaneda_stoikov_d12.marketmakerstateinit@ageoa/institutional_quant_engine/avellaneda_stoikov_d12/atoms.py:16,ageoa.institutional_quant_engine.avellaneda_stoikov_d12.marketmakerstateinit,institutional_quant_engine,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.avellaneda_stoikov_d12.optimalquotecalculation@ageoa/institutional_quant_engine/avellaneda_stoikov_d12/atoms.py:43,ageoa.institutional_quant_engine.avellaneda_stoikov_d12.optimalquotecalculation,institutional_quant_engine,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.copula_dependence.simulate_copula_dependence@ageoa/institutional_quant_engine/copula_dependence/atoms.py:19,ageoa.institutional_quant_engine.copula_dependence.simulate_copula_dependence,institutional_quant_engine,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.dynamic_hedge.kalman_hedge_ratio@ageoa/institutional_quant_engine/dynamic_hedge/atoms.py:21,ageoa.institutional_quant_engine.dynamic_hedge.kalman_hedge_ratio,institutional_quant_engine,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.evt_model.fit_gpd_tail@ageoa/institutional_quant_engine/evt_model/atoms.py:18,ageoa.institutional_quant_engine.evt_model.fit_gpd_tail,institutional_quant_engine,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.fractional_diff.fractional_differentiator@ageoa/institutional_quant_engine/fractional_diff/atoms.py:18,ageoa.institutional_quant_engine.fractional_diff.fractional_differentiator,institutional_quant_engine,none,0,0,not_applicable,medium,review_soon,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.hawkes_process.sample_hawkes_event_trajectory@ageoa/institutional_quant_engine/hawkes_process/atoms.py:19,ageoa.institutional_quant_engine.hawkes_process.sample_hawkes_event_trajectory,institutional_quant_engine,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.hawkes_process_d12.hawkesprocesssimulator@ageoa/institutional_quant_engine/hawkes_process_d12/atoms.py:18,ageoa.institutional_quant_engine.hawkes_process_d12.hawkesprocesssimulator,institutional_quant_engine,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.heston_model.simulate_heston_paths@ageoa/institutional_quant_engine/heston_model/atoms.py:22,ageoa.institutional_quant_engine.heston_model.simulate_heston_paths,institutional_quant_engine,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.heston_model_d12.hestonpathsampler@ageoa/institutional_quant_engine/heston_model_d12/atoms.py:22,ageoa.institutional_quant_engine.heston_model_d12.hestonpathsampler,institutional_quant_engine,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.hierarchical_risk_parity.compute_hrp_weights@ageoa/institutional_quant_engine/hierarchical_risk_parity/atoms.py:17,ageoa.institutional_quant_engine.hierarchical_risk_parity.compute_hrp_weights,institutional_quant_engine,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.hrp_d12.hrppipelinerun@ageoa/institutional_quant_engine/hrp_d12/atoms.py:16,ageoa.institutional_quant_engine.hrp_d12.hrppipelinerun,institutional_quant_engine,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.kalman_filter.kalmanfilterinit@ageoa/institutional_quant_engine/kalman_filter/atoms.py:28,ageoa.institutional_quant_engine.kalman_filter.kalmanfilterinit,institutional_quant_engine,none,0,0,not_applicable,high,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.kalman_filter.kalmanmeasurementupdate@ageoa/institutional_quant_engine/kalman_filter/atoms.py:65,ageoa.institutional_quant_engine.kalman_filter.kalmanmeasurementupdate,institutional_quant_engine,none,0,0,not_applicable,high,review_now,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.limit_order_queue_estimator@ageoa/institutional_quant_engine/atoms.py:102,ageoa.institutional_quant_engine.limit_order_queue_estimator,institutional_quant_engine,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.market_making_avellaneda@ageoa/institutional_quant_engine/atoms.py:22,ageoa.institutional_quant_engine.market_making_avellaneda,institutional_quant_engine,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.order_flow_imbalance.orderflowimbalanceevaluation@ageoa/institutional_quant_engine/order_flow_imbalance/atoms.py:17,ageoa.institutional_quant_engine.order_flow_imbalance.orderflowimbalanceevaluation,institutional_quant_engine,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.pin_informed_trading@ageoa/institutional_quant_engine/atoms.py:76,ageoa.institutional_quant_engine.pin_informed_trading,institutional_quant_engine,none,0,0,not_applicable,low,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
ageoa.institutional_quant_engine.pin_model.pinlikelihoodevaluation@ageoa/institutional_quant_engine/pin_model/atoms.py:18,ageoa.institutional_quant_engine.pin_model.pinlikelihoodevaluation,institutional_quant_engine,none,0,0,not_applicable,medium,review_later,PARITY_MISSING_FIXTURE;PARITY_MISSING_USAGE_EQUIVALENCE
